                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.6692,                 1.5374,                 1.3241,                0.29239,                0.18461,                0.16011,                 0.0677,                 2.2952,                 2.3621,                 1.8172,              0.0007038,              0.0007038,              0.0007038
                     49,                 1.6574,                 1.5371,                 1.3263,                0.43354,                0.18013,                0.15389,                0.07304,                 2.2693,                  2.243,                 1.7726,             0.00070105,             0.00070105,             0.00070105
                     50,                 1.6516,                 1.4849,                 1.2926,                0.22097,                0.27917,                0.21179,                 0.0949,                 2.2524,                 2.2131,                 1.7596,              0.0006983,              0.0006983,              0.0006983
                     51,                 1.6908,                 1.5484,                 1.3565,                0.18654,                0.28378,                0.19252,                0.08578,                 2.2671,                 2.2168,                 1.7656,             0.00069556,             0.00069556,             0.00069556
                     52,                 1.6821,                 1.5111,                 1.3439,                0.47751,                0.15124,                 0.1999,                0.07813,                 2.2815,                 2.2662,                 1.9271,             0.00069281,             0.00069281,             0.00069281
                     53,                 1.6415,                 1.4646,                 1.3152,                 0.1624,                0.23815,                0.18755,                0.08143,                 2.2134,                 2.2878,                 1.7768,             0.00069006,             0.00069006,             0.00069006
                     54,                 1.6402,                  1.434,                 1.2722,                0.41676,                0.22352,                0.21195,                0.08266,                 2.2304,                 2.1823,                 1.7074,             0.00068731,             0.00068731,             0.00068731
                     55,                 1.6857,                 1.5252,                 1.3024,                0.29428,                0.26455,                0.21471,                0.08656,                 2.3177,                 2.2452,                 1.8524,             0.00068456,             0.00068456,             0.00068456
                     56,                 1.7022,                 1.5517,                 1.3335,                0.29033,                0.28805,                0.22509,                0.09376,                 2.3407,                  2.288,                 1.8768,             0.00068181,             0.00068181,             0.00068181
                     57,                 1.6699,                 1.5278,                 1.3237,                0.39819,                0.26152,                0.20859,                0.08468,                 2.2611,                 2.2228,                 1.7768,             0.00067906,             0.00067906,             0.00067906
                     58,                 1.6118,                 1.4383,                 1.2995,                0.47761,                0.20802,                0.22958,                0.09488,                 2.2782,                 2.2839,                 1.8492,             0.00067631,             0.00067631,             0.00067631
                     59,                 1.6073,                 1.4326,                 1.2742,                0.51062,                0.18243,                0.17433,                 0.0796,                  2.272,                 2.1929,                 1.7813,             0.00067356,             0.00067356,             0.00067356
                     60,                 1.5909,                 1.3617,                 1.2567,                0.47684,                0.14395,                0.16407,                0.06561,                 2.2678,                 2.3255,                 1.7189,             0.00067081,             0.00067081,             0.00067081
                     61,                 1.6086,                 1.4521,                 1.2775,                0.31649,                0.21691,                0.16713,                0.07394,                 2.3036,                 2.3657,                 1.7876,             0.00066807,             0.00066807,             0.00066807
                     62,                 1.5593,                 1.3441,                 1.2536,                0.36045,                 0.1484,                0.18081,                0.08093,                 2.2795,                 2.3757,                 1.8404,             0.00066532,             0.00066532,             0.00066532
                     63,                 1.6322,                 1.4328,                 1.3073,                0.44275,                0.19336,                0.19003,                0.08346,                 2.2509,                 2.1702,                  1.792,             0.00066257,             0.00066257,             0.00066257
                     64,                 1.5825,                 1.3735,                 1.2642,                0.37262,                0.22756,                0.21478,                0.09203,                 2.2136,                 2.1436,                  1.801,             0.00065982,             0.00065982,             0.00065982
                     65,                 1.5993,                 1.4001,                 1.3035,                0.50168,                0.16381,                 0.1882,                0.07977,                 2.3096,                 2.3308,                 1.7812,             0.00065707,             0.00065707,             0.00065707
                     66,                 1.5761,                 1.3445,                 1.2578,                0.46318,                0.20774,                0.18813,                0.08336,                 2.3058,                 2.2797,                 1.8108,             0.00065432,             0.00065432,             0.00065432
                     67,                 1.5547,                 1.3535,                 1.2619,                0.46082,                0.21805,                 0.1943,                0.09191,                 2.2428,                 2.2499,                 1.7818,             0.00065157,             0.00065157,             0.00065157
                     68,                 1.5919,                 1.4061,                 1.2789,                0.45153,                0.18489,                0.17962,                0.08664,                 2.2146,                 2.2087,                 1.7374,             0.00064882,             0.00064882,             0.00064882
